A6,80gsm Simili,80gsm Simili,100gsm Simili,100gsm Simili,128gsm Art Paper,128gsm Art Paper,157gsm Art Paper,157gsm Art Paper,260gsm Art Card,260gsm Art Card
Qty,Single,Double,Single,Double,Single,Double,Single,Double,Single,Double
1200,91,112,94,122,102,126,108,130,200,275
2000,110,138,114,146,122,150,132,156,287,388
4000,151,164,155,170,160,176,166,181,521,722
8000,192,215,198,232,202,239,214,248,974,1372
10000,262,289,276,304,283,313,292,327,1250,1747
16000,356,396,379,428,390,436,405,451,1940,2734
20000,422,482,461,514,475,522,492,551,2412,3405
